id,userid,itemid,rating
295,2,144,1.30
296,2,145,4.70
297,2,146,2.10
298,2,147,4.80
299,2,148,2.50
300,2,149,4.90
301,2,150,1.30
302,2,151,3.20
303,3,1,1.70
304,3,2,1.50
305,3,3,4.90
306,3,4,0.60
307,3,5,1.60
308,3,6,2.40
309,3,7,0.50
310,3,8,3.10
311,3,9,0.10
312,3,10,2.40
313,3,11,3.60
314,3,12,4.20
315,3,13,2.70
316,3,14,3.80
317,3,15,0.60
318,3,16,4.70
319,3,17,1.10
320,3,18,2.30
321,3,19,4.70
322,3,20,1.70
323,3,21,5.00
324,3,22,4.50
325,3,23,2.70
326,3,24,1.10
327,3,25,4.40
328,3,26,0.50
329,3,27,0.50
330,3,28,2.80
331,3,29,5.00
332,3,30,0.60
333,3,31,2.00
334,3,32,0.90
335,3,33,3.80
336,3,34,2.90
337,3,35,1.30
338,3,36,4.50
339,3,37,3.70
340,3,38,2.70
341,3,39,2.20
342,3,40,1.20
343,3,41,1.90
344,3,42,0.50
345,3,43,0.90
346,3,44,0.50
347,3,45,4.30
348,3,46,2.90
349,3,47,0.30
350,3,48,4.30
351,3,49,1.60
352,3,50,2.00
353,3,51,1.60
354,3,52,3.90
355,3,53,3.10
356,3,54,1.80
357,3,55,4.20
358,3,56,1.80
359,3,57,2.60
360,3,58,3.10
361,3,59,2.80
362,3,60,4.90
363,3,61,1.80
364,3,62,4.90
365,3,63,1.00
366,3,64,0.60
367,3,65,0.90
368,3,66,3.50
369,3,67,2.10
370,3,68,3.00
371,3,69,1.50
372,3,70,3.80
373,3,71,2.10
374,3,72,0.20
375,3,73,2.40
376,3,74,0.60
377,3,75,2.70
378,3,76,4.10
379,3,77,2.70
380,3,78,3.90
381,3,79,4.60
382,3,80,4.90
383,3,81,2.10
384,3,82,4.40
385,3,83,2.50
386,3,84,0.90
387,3,85,4.40
388,3,86,0.20
389,3,87,3.50
390,3,88,2.90
391,3,89,0.30
392,3,90,0.40
393,3,91,3.50
394,3,92,0.10
395,3,93,0.60
396,3,94,3.30
397,3,95,0.80
398,3,96,2.10
399,3,97,1.50
400,3,98,0.50
401,3,99,5.00
402,3,100,1.30
403,3,101,3.70
404,3,102,1.90
405,3,103,3.90
406,3,104,3.00
407,3,105,4.60
408,3,106,3.80
409,3,107,1.70
410,3,108,4.30
411,3,109,4.60
412,3,110,2.00
413,3,111,2.10
414,3,112,1.30
415,3,113,1.60
416,3,114,3.00
417,3,115,3.30
418,3,116,0.80
419,3,117,3.40
420,3,118,2.70
421,3,119,0.50
422,3,120,1.70
423,3,121,2.90
424,3,122,1.30
425,3,123,3.70
426,3,124,2.50
427,3,125,2.00
428,3,126,0.40
429,3,127,3.00
430,3,128,4.90
431,3,129,2.00
432,3,130,3.60
433,3,131,3.20
434,3,132,1.70
435,3,133,0.30
436,3,134,4.30
437,3,120,2.00
438,3,136,0.80
439,3,137,0.60
440,3,138,2.90
441,3,139,0.90
442,3,140,3.40
443,3,141,4.40
444,3,142,1.90
445,3,143,2.20
446,3,144,1.50
447,3,145,0.40
448,3,146,0.30
449,3,147,1.70
450,3,148,0.30
451,3,149,0.70
452,3,150,0.00
453,3,151,4.70
454,4,1,1.00
455,4,2,3.80
456,4,3,5.00
457,4,4,4.00
458,4,5,0.10
459,4,6,3.90
460,4,7,2.90
461,4,8,1.50
462,4,9,3.10
463,4,10,3.40
464,4,11,1.50
465,4,12,3.30
466,4,13,4.40
467,4,14,2.40
468,4,15,0.60
469,4,16,4.10
470,4,17,0.00
471,4,18,4.60
472,4,19,2.30
473,4,20,1.60
474,4,21,1.00
475,4,22,3.40
476,4,23,1.30
477,4,24,2.80
478,4,25,1.80
479,4,26,2.50
480,4,27,1.00
481,4,28,0.20
482,4,29,1.30
483,4,30,3.00
484,4,31,2.60
485,4,32,3.20
486,4,33,1.80
487,4,34,2.20
488,4,35,1.50
489,4,36,2.70
490,4,37,3.80
491,4,38,1.80
492,4,39,4.40
493,4,40,0.80
494,4,41,0.70
495,4,42,4.90
496,4,43,1.00
497,4,44,3.90
498,4,45,0.10
499,4,46,3.10
500,4,47,0.10
501,4,48,0.60
502,4,49,1.10
503,4,50,0.70
504,4,51,4.50
505,4,52,3.00
506,4,53,3.40
507,4,54,2.10
508,4,55,0.90
509,4,56,5.00
510,4,57,3.50
511,4,58,4.50
512,4,59,1.30
513,4,60,1.00
514,4,61,4.10
515,4,62,0.30
516,4,63,3.20
517,4,64,0.80
518,4,65,2.90
519,4,66,2.40
520,4,67,3.80
521,4,68,1.10
522,4,69,3.40
523,4,70,1.20
524,4,71,1.00
525,4,72,1.30
526,4,73,4.30
527,4,74,3.10
528,4,75,1.40
529,4,76,0.80
530,4,77,3.30
531,4,78,4.50
532,4,79,0.40
533,4,80,4.70
534,4,81,3.60
535,4,82,3.40
536,4,83,2.40
537,4,84,2.40
538,4,85,0.60
539,4,86,1.70
540,4,87,1.50
541,4,88,3.80
542,4,89,0.40
543,4,90,0.80
544,4,91,3.80
545,4,92,1.60
546,4,93,1.10
547,4,94,2.80
548,4,95,1.80
549,4,96,1.00
550,4,97,1.10
551,4,98,4.10
552,4,99,0.70
553,4,100,4.10
554,4,101,4.30
555,4,102,0.20
556,4,103,3.50
557,4,104,0.50
558,4,105,0.90
559,4,106,2.80
560,4,107,0.40
561,4,108,3.70
562,4,109,1.90
563,4,110,1.20
564,4,111,2.20
565,4,112,4.20
566,4,113,2.10
567,4,114,3.00
568,4,115,3.00
569,4,116,2.00
570,4,117,3.10
571,4,118,3.30
572,4,119,0.90
573,4,120,4.80
574,4,121,2.90
575,4,122,4.70
576,4,123,4.40
577,4,124,1.90
578,4,125,2.50
579,4,126,0.70
580,4,127,0.20
581,4,128,2.70
582,4,129,3.20
583,4,130,4.20
584,4,131,1.20
585,4,132,3.30
586,4,133,1.10
587,4,134,4.10
588,4,120,0.60
589,4,136,0.60
590,4,137,3.20
591,4,138,4.10
592,4,139,1.30
593,4,140,3.80
594,4,141,3.90
595,4,142,0.10
596,4,143,0.60
597,4,144,4.10
598,4,145,3.90
599,4,146,3.60
600,4,147,2.60
601,4,148,2.10
602,4,149,1.70
603,4,150,2.70
604,4,151,3.50
605,5,1,2.70
606,5,2,3.30
607,5,3,1.40
608,5,4,4.90
609,5,5,2.90
610,5,6,3.00
611,5,7,3.90
612,5,8,4.40
613,5,9,4.50
614,5,10,4.00
615,5,11,4.50
616,5,12,0.30
617,5,13,0.00
618,5,14,1.60
619,5,15,1.10
620,5,16,3.20
621,5,17,2.20
622,5,18,4.70
623,5,19,0.80
624,5,20,1.70
625,5,21,2.80
626,5,22,3.90
627,5,23,1.10
628,5,24,1.90
629,5,25,1.20
630,5,26,2.50
631,5,27,1.10
632,5,28,2.90
633,5,29,0.10
634,5,30,1.70
635,5,31,2.00
636,5,32,4.70
637,5,33,0.40
638,5,34,2.10
639,5,35,1.70
640,5,36,1.90
641,5,37,0.70
642,5,38,4.30
643,5,39,4.00
644,5,40,2.30
645,5,41,3.80
646,5,42,0.80
647,5,43,1.30
648,5,44,1.10
649,5,45,0.40
650,5,46,2.90
651,5,47,3.50
652,5,48,0.70
653,5,49,4.30
654,5,50,2.30
655,5,51,4.50
656,5,52,2.80
657,5,53,2.70
658,5,54,1.90
659,5,55,4.10
660,5,56,2.80
661,5,57,3.80
662,5,58,2.60
663,5,59,3.20
664,5,60,3.80
665,5,61,1.20
666,5,62,4.70
667,5,63,1.20
668,5,64,3.10
669,5,65,4.80
670,5,66,1.00
671,5,67,2.00
672,5,68,2.90
673,5,69,2.70
674,5,70,4.90
675,5,71,1.70
676,5,72,3.20
677,5,73,2.80
678,5,74,3.50
679,5,75,0.40
680,5,76,2.10
681,5,77,1.70
682,5,78,3.10
683,5,79,1.60
684,5,80,2.60
685,5,81,1.10
686,5,82,4.80
687,5,83,0.50
688,5,84,0.50
689,5,85,3.00
690,5,86,3.30
691,5,87,2.90
692,5,88,0.20
693,5,89,3.80
694,5,90,1.40
695,5,91,0.70
696,5,92,1.70
697,5,93,0.20
698,5,94,1.10
699,5,95,3.10
700,5,96,2.60
701,5,97,3.80
702,5,98,1.70
703,5,99,0.90
704,5,100,1.80
705,5,101,4.40
706,5,102,4.60
707,5,103,1.10
708,5,104,2.80
709,5,105,1.30
710,5,106,2.00
711,5,107,4.10
712,5,108,2.70
713,5,109,4.30
714,5,110,4.50
715,5,111,2.80
716,5,112,1.90
717,5,113,3.70
718,5,114,1.80
719,5,115,0.10
720,5,116,2.90
721,5,117,2.60
722,5,118,4.60
723,5,119,4.60
724,5,120,1.70
725,5,121,4.40
726,5,122,0.70
727,5,123,4.30
728,5,124,4.70
729,5,125,4.30
730,5,126,3.90
731,5,127,2.00
732,5,128,1.50
733,5,129,4.20
734,5,130,1.10
735,5,131,1.70
736,5,132,2.50
737,5,133,3.30
738,5,134,2.20
739,5,120,4.70
740,5,136,0.20
741,5,137,4.40
742,5,138,3.70
743,5,139,4.00
744,5,140,2.80
745,5,141,0.90
746,5,142,3.20
747,5,143,1.60
748,5,144,4.90
749,5,145,4.50
750,5,146,0.50
751,5,147,3.20
752,5,148,3.10
753,5,149,4.50
754,5,150,0.80
755,5,151,0.10
756,6,1,3.70
757,6,2,4.20
758,6,3,0.90
759,6,4,3.60
760,6,5,4.00
761,6,6,2.50
762,6,7,3.80
763,6,8,1.00
764,6,9,2.80
765,6,10,1.40
766,6,11,3.10
767,6,12,1.20
768,6,13,2.70
769,6,14,2.70
770,6,15,2.50
771,6,16,0.40
772,6,17,1.10
773,6,18,3.00
774,6,19,3.10
775,6,20,0.00
776,6,21,0.30
777,6,22,0.90
778,6,23,5.00
779,6,24,2.40
780,6,25,1.40
781,6,26,2.10
782,6,27,2.00
783,6,28,3.60
784,6,29,4.70
785,6,30,0.40
786,6,31,4.10
787,6,32,2.00
788,6,33,4.60
789,6,34,2.60
790,6,35,0.80
791,6,36,1.90
792,6,37,1.40
793,6,38,1.20
794,6,39,0.60
795,6,40,3.80
796,6,41,0.20
797,6,42,0.20
798,6,43,0.90
799,6,44,0.10
800,6,45,4.10
801,6,46,3.00
802,6,47,0.90
803,6,48,3.60
804,6,49,1.40
805,6,50,4.20
806,6,51,2.30
807,6,52,1.30
808,6,53,4.20
809,6,54,1.70
810,6,55,1.70
811,6,56,1.90
812,6,57,2.50
813,6,58,2.70
814,6,59,0.20
815,6,60,4.10
816,6,61,1.80
817,6,62,2.30
818,6,63,3.10
819,6,64,2.60
820,6,65,4.40
821,6,66,1.30
822,6,67,3.70
823,6,68,1.90
824,6,69,2.60
825,6,70,0.90
826,6,71,0.50
827,6,72,3.70
828,6,73,1.40
829,6,74,1.00
830,6,75,1.20
831,6,76,3.80
832,6,77,4.30
833,6,78,3.70
834,6,79,3.70
835,6,80,1.90
836,6,81,3.50
837,6,82,3.70
838,6,83,2.80
839,6,84,2.50
840,6,85,3.60
841,6,86,1.10
842,6,87,0.00
843,6,88,3.60
844,6,89,3.20
845,6,90,2.20
846,6,91,1.00
847,6,92,3.80
848,6,93,2.20
849,6,94,0.50
850,6,95,4.50
851,6,96,3.30
852,6,97,1.70
853,6,98,2.20
854,6,99,0.00
855,6,100,3.20
856,6,101,3.00
857,6,102,3.90
858,6,103,0.40
859,6,104,3.50
860,6,105,1.20
861,6,106,3.90
862,6,107,4.70
863,6,108,0.90
864,6,109,4.20
865,6,110,1.80
866,6,111,4.60
867,6,112,4.90
868,6,113,2.20
869,6,114,4.40
870,6,115,3.50
871,6,116,1.60
872,6,117,3.80
873,6,118,1.10
874,6,119,0.70
875,6,120,3.60
876,6,121,2.20
877,6,122,0.60
878,6,123,3.80
879,6,124,1.20
880,6,125,4.90
881,6,126,2.20
882,6,127,0.20
883,6,128,1.10
884,6,129,4.90
885,6,130,1.50
886,6,131,0.80
887,6,132,1.10
888,6,133,3.20
889,6,134,4.10
890,6,120,2.60
891,6,136,1.70
892,6,137,2.60
893,6,138,2.50
894,6,139,2.10
895,6,140,1.10
896,6,141,2.40
897,6,142,1.00
898,6,143,3.00
899,6,144,1.00
900,6,145,3.30
901,6,146,1.00
902,6,147,0.10
903,6,148,4.70
904,6,149,2.70
905,6,150,2.60
906,6,151,4.20
907,7,1,2.20
908,7,2,2.90
909,7,3,1.50
910,7,4,2.80
911,7,5,3.90
912,7,6,0.50
913,7,7,1.90
914,7,8,0.30
915,7,9,0.20
916,7,10,1.60
917,7,11,0.30
918,7,12,2.70
919,7,13,1.10
920,7,14,1.90
921,7,15,2.10
922,7,16,1.30
923,7,17,4.80
924,7,18,2.30
925,7,19,4.70
926,7,20,2.20
927,7,21,1.20
928,7,22,0.40
929,7,23,3.10
930,7,24,2.70
931,7,25,0.10
932,7,26,2.40
933,7,27,1.20
934,7,28,0.50
935,7,29,0.80
936,7,30,4.50
937,7,31,1.30
938,7,32,2.90
939,7,33,2.10
940,7,34,0.20
941,7,35,4.00
942,7,36,0.80
943,7,37,4.30
944,7,38,1.80
945,7,39,2.80
946,7,40,3.70
947,7,41,0.80
948,7,42,3.40
949,7,43,0.80
950,7,44,4.30
951,7,45,5.00
952,7,46,4.40
953,7,47,2.30
954,7,48,0.00
955,7,49,1.50
956,7,50,4.00
957,7,51,4.80
958,7,52,0.70
959,7,53,0.70
960,7,54,4.10
961,7,55,4.60
962,7,56,2.50
963,7,57,2.50
964,7,58,0.70
965,7,59,2.60
966,7,60,1.80
967,7,61,3.90
968,7,62,3.40
969,7,63,0.90
970,7,64,3.80
971,7,65,2.60
972,7,66,3.70
973,7,67,4.60
974,7,68,4.10
975,7,69,1.20
976,7,70,1.10
977,7,71,4.20
978,7,72,3.20
979,7,73,3.70
980,7,74,1.30
981,7,75,4.40
982,7,76,3.00
983,7,77,3.30
984,7,78,3.20
985,7,79,0.50
986,7,80,0.80
987,7,81,2.20
988,7,82,2.00
989,7,83,1.40
990,7,84,0.40
991,7,85,0.20
992,7,86,1.70
993,7,87,0.20
994,7,88,2.70
995,7,89,4.40
996,7,90,1.40
997,7,91,1.40
998,7,92,3.30
999,7,93,0.60
1000,7,94,5.00
1001,7,95,0.60
1002,7,96,3.70
1003,7,97,0.50
1004,7,98,2.40
1005,7,99,1.40
1006,7,100,2.70
1007,7,101,3.60
1008,7,102,3.50
1009,7,103,1.10
1010,7,104,3.80
1011,7,105,0.70
1012,7,106,4.10
1013,7,107,0.80
1014,7,108,4.60
1015,7,109,3.70
1016,7,110,3.40
1017,7,111,3.50
1018,7,112,3.90
1019,7,113,0.30
1020,7,114,1.50
1021,7,115,2.00
1022,7,116,3.00
1023,7,117,4.40
1024,7,118,2.70
1025,7,119,2.40
1026,7,120,3.40
1027,7,121,4.20
1028,7,122,3.10
1029,7,123,2.00
1030,7,124,0.50
1031,7,125,4.60
1032,7,126,2.30
1033,7,127,1.10
1034,7,128,4.20
1035,7,129,1.70
1036,7,130,0.50
1037,7,131,4.00
1038,7,132,2.90
1039,7,133,0.00
1040,7,134,1.80
1041,7,120,3.90
1042,7,136,0.40
1043,7,137,2.60
1044,7,138,1.10
1045,7,139,3.10
1046,7,140,2.40
1047,7,141,1.00
1048,7,142,0.70
1049,7,143,4.60
1050,7,144,4.10
1051,7,145,4.90
1052,7,146,5.00
1053,7,147,3.60
1054,7,148,1.60
1055,7,149,3.10
1056,7,150,3.50
1057,7,151,2.40
1058,8,1,3.10
1059,8,2,0.60
1060,8,3,3.60
1061,8,4,3.10
1062,8,5,1.10
1063,8,6,2.20
1064,8,7,4.80
1065,8,8,4.80
1066,8,9,4.30
1067,8,10,4.10
1068,8,11,4.30
1069,8,12,4.80
1070,8,13,0.50
1071,8,14,4.00
1072,8,15,2.40
1073,8,16,5.00
1074,8,17,2.70
1075,8,18,1.90
1076,8,19,2.40
1077,8,20,0.00
1078,8,21,3.80
1079,8,22,3.10
1080,8,23,0.40
1081,8,24,5.00
1082,8,25,3.90
1083,8,26,4.10
1084,8,27,4.80
1085,8,28,4.80
1086,8,29,4.70
1087,8,30,1.80
1088,8,31,3.40
1089,8,32,2.00
1090,8,33,4.60
1091,8,34,1.20
1092,8,35,0.50
1093,8,36,0.00
1094,8,37,1.50
1095,8,38,3.40
1096,8,39,2.00
1097,8,40,4.00
1098,8,41,2.90
1099,8,42,2.60
1100,8,43,0.80
1101,8,44,1.60
1102,8,45,0.50
1103,8,46,1.50
1104,8,47,2.30
1105,8,48,1.30
1106,8,49,1.70
1107,8,50,2.80
1108,8,51,0.00
1109,8,52,3.00
1110,8,53,2.50
1111,8,54,3.30
1112,8,55,1.70
1113,8,56,2.30
1114,8,57,1.50
1115,8,58,0.60
1116,8,59,2.00
1117,8,60,3.60
1118,8,61,1.30
1119,8,62,0.10
1120,8,63,2.90
1121,8,64,1.90
1122,8,65,1.00
1123,8,66,3.20
1124,8,67,3.00
1125,8,68,2.90
1126,8,69,0.10
1127,8,70,0.50
1128,8,71,4.60
1129,8,72,3.80
1130,8,73,4.10
1131,8,74,3.90
1132,8,75,1.80
1133,8,76,1.40
1134,8,77,2.80
1135,8,78,3.80
1136,8,79,2.60
1137,8,80,3.60
1138,8,81,1.40
1139,8,82,1.90
1140,8,83,4.90
1141,8,84,0.80
1142,8,85,2.50
1143,8,86,3.70
1144,8,87,4.60
1145,8,88,4.60
1146,8,89,1.40
1147,8,90,2.10
1148,8,91,2.00
1149,8,92,2.10
1150,8,93,2.70
1151,8,94,4.60
1152,8,95,2.80
1153,8,96,1.50
1154,8,97,4.50
1155,8,98,4.70
1156,8,99,0.00
1157,8,100,1.70
1158,8,101,1.40
1159,8,102,1.90
1160,8,103,1.20
1161,8,104,2.70
1162,8,105,2.00
1163,8,106,3.90
1164,8,107,4.80
1165,8,108,0.40
1166,8,109,4.50
1167,8,110,2.10
1168,8,111,3.60
1169,8,112,1.40
1170,8,113,2.70
1171,8,114,0.60
1172,8,115,0.90
1173,8,116,4.70
1174,8,117,2.70
1175,8,118,0.50
1176,8,119,2.00
1177,8,120,0.60
1178,8,121,0.80
1179,8,122,4.60
1180,8,123,0.20
1181,8,124,2.20
1182,8,125,0.20
1183,8,126,0.10
1184,8,127,4.00
1185,8,128,4.60
1186,8,129,4.70
1187,8,130,2.30
1188,8,131,4.00
1189,8,132,1.90
1190,8,133,1.50
1191,8,134,2.80
1192,8,120,1.20
1193,8,136,3.00
1194,8,137,3.40
1195,8,138,0.50
1196,8,139,0.40
1197,8,140,0.20
1198,8,141,3.10
1199,8,142,3.50
1200,8,143,0.10
1201,8,144,4.40
1202,8,145,3.00
1203,8,146,3.40
1204,8,147,4.40
1205,8,148,0.10
1206,8,149,3.30
1207,8,150,4.40
1208,8,151,3.70
1209,9,1,2.10
1210,9,2,1.90
1211,9,3,0.40
1212,9,4,0.40
1213,9,5,2.20
1214,9,6,3.70
1215,9,7,0.00
1216,9,8,4.60
1217,9,9,1.40
1218,9,10,4.50
1219,9,11,0.70
1220,9,12,1.80
1221,9,13,2.10
1222,9,14,0.10
1223,9,15,1.60
1224,9,16,4.80
1225,9,17,3.90
1226,9,18,0.70
1227,9,19,3.20
1228,9,20,0.20
1229,9,21,0.60
1230,9,22,1.20
1231,9,23,2.50
1232,9,24,4.00
1233,9,25,0.50
1234,9,26,2.30
1235,9,27,2.40
1236,9,28,0.60
1237,9,29,4.60
1238,9,30,2.90
1239,9,31,3.40
1240,9,32,1.20
1241,9,33,1.50
1242,9,34,0.60
1243,9,35,3.70
1244,9,36,3.10
1245,9,37,0.40
1246,9,38,2.50
1247,9,39,4.80
1248,9,40,2.50
1249,9,41,2.00
1250,9,42,1.40
1251,9,43,2.20
1252,9,44,1.10
1253,9,45,2.00
1254,9,46,3.40
1255,9,47,2.90
1256,9,48,2.80
1257,9,49,4.50
1258,9,50,1.30
1259,9,51,3.50
1260,9,52,1.30
1261,9,53,3.10
1262,9,54,2.50
1263,9,55,4.80
1264,9,56,2.80
1265,9,57,4.30
1266,9,58,0.20
1267,9,59,3.40
1268,9,60,0.40
1269,9,61,1.50
1270,9,62,2.60
1271,9,63,1.30
1272,9,64,4.30
1273,9,65,1.00
1274,9,66,2.30
1275,9,67,1.10
1276,9,68,1.30
1277,9,69,4.20
1278,9,70,1.40
1279,9,71,0.20
1280,9,72,4.40
1281,9,73,0.70
1282,9,74,0.70
1283,9,75,4.10
1284,9,76,3.70
1285,9,77,2.90
1286,9,78,3.50
1287,9,79,2.00
1288,9,80,4.20
1289,9,81,4.30
1290,9,82,3.30
1291,9,83,1.50
1292,9,84,2.50
1293,9,85,1.20
1294,9,86,3.50
1295,9,87,1.50
1296,9,88,3.90
1297,9,89,2.70
1298,9,90,4.90
1299,9,91,2.90
1300,9,92,4.90
1301,9,93,1.00
1302,9,94,0.80
1303,9,95,2.20
1304,9,96,3.10
1305,9,97,3.60
1306,9,98,2.30
1307,9,99,4.70
1308,9,100,1.10
1309,9,101,0.90
1310,9,102,3.30
1311,9,103,2.80
1312,9,104,1.40
1313,9,105,2.30
1314,9,106,4.70
1315,9,107,0.60
1316,9,108,4.30
1317,9,109,2.70
1318,9,110,4.10
1319,9,111,4.70
1320,9,112,4.00
1321,9,113,3.80
1322,9,114,2.80
1323,9,115,4.60
1324,9,116,0.90
1325,9,117,1.50
1326,9,118,2.40
1327,9,119,4.80
1328,9,120,0.80
1329,9,121,1.10
1330,9,122,2.70
1331,9,123,1.70
1332,9,124,4.10
1333,9,125,1.00
1334,9,126,4.10
1335,9,127,1.90
1336,9,128,2.20
1337,9,129,4.30
1338,9,130,4.20
1339,9,131,0.80
1340,9,132,0.10
1341,9,133,4.50
1342,9,134,3.90
1343,9,120,0.90
1344,9,136,0.10
1345,9,137,3.50
1346,9,138,2.50
1347,9,139,2.50
1348,9,140,1.40
1349,9,141,4.00
1350,9,142,1.70
1351,9,143,4.80
1352,9,144,2.40
1353,9,145,2.20
1354,9,146,1.60
1355,9,147,1.40
1356,9,148,0.40
1357,9,149,1.30
1358,9,150,3.30
1359,9,151,0.10
1360,10,1,0.50
1361,10,2,1.20
